G_CODE,G_FAMILY,G_ISO_CODE_2,G_LATITUDE,G_LONGITUDE,G_NAME
cso,104992-105083-39033-39034-39039-39043,--,17.7985,-96.6079,"Chinantec, Sochiapam"
csq,107390-107128-107508-107544-33548,--,45.502,16.796,Croatia Sign Language
csr,107390-107128-107502-33418,--,9.8943,-84.118,Costa Rican Sign Language
css,44281-44298-44299,--,36.364,-121.177,"Ohlone, Southern"
cst,44281-44298-107499-44303,--,36.364,-121.177,"Ohlone, Northern"
csv,105000-105104-105252-105432-105651-105855-106058-107019-106970,--,--,--,"Chin, Sumtu"
csw,104950-105013-23826-23830-23833,--,56.0,-95.0,"Cree, Swampy"
csy,105000-105104-105252-105432-105650-105852-27492,--,23.8192,93.6884,"Chin, Siyin"
csz,28971-28973,--,43.4413,-124.16,Coos
cta,104992-39084-39185-39224-39225-105837-39227,--,16.2963,-97.5311,"Chatino, Tataltepec"
ctc,107384-44819,--,42.6864,-124.376,Chetco
ctd,105000-105104-105252-105432-105650-105853-27524,--,23.6079,93.519,"Chin, Tedim"
cte,104992-105083-39033-39034-39049-39052,--,17.6651,-96.1433,"Chinantec, Tepinapa"
ctg,104971-105055-105173-105346-105563-105799-106014-106215-37739,--,20.831,93.1695,Chittagonian
cth,--,--,--,--,"Chin, Thaiphum"
cti,107384-104947,--,17.75,-92.5,"Chol, Tila"
ctl,104992-105083-39033-39034-39039-39040-39042,--,17.8646,-96.5176,"Chinantec, Tlacoatzintepec"
ctm,34558,--,30.3386,-90.9123,Chitimacha
ctn,105000-105103-105251-105429-105648-105851-27996,--,26.961,87.1899,Chhintang
cto,104966-33683-33684-33688,--,7.52721,-76.7476,Emberá-Catío
ctp,104992-39084-39185-39224-39225-105837-106047-39229,--,16.2495,-97.3244,"Chatino, Western Highland"
cts,106869-106871-106878-105322-105525-39936-39937,--,13.9032,124.27,"Bikol, Northern Catanduanes"
ctt,104968-105043-105163-105331-105542-105779-105998-106929-106937-106390-33796,--,--,--,"Chetti, Wayanad"
ctu,104983-105185-107498-105361-105578-44784-44789,--,17.4897,-92.4698,Chol
ctz,104992-39084-39185-39224-39225-105837-106047-39234,--,16.08,-97.3069,"Chatino, Zacatepec"
cua,104956-105024-35707,--,15.1688,108.431,Cua
cub,105003-105114-105263-105442-34451,--,1.32382,-70.1939,Cubeo
cuc,104992-105083-39033-39034-39039-39044,--,17.9184,-96.4074,"Chinantec, Usila"
cug,104955-105023-105143-105302-105490-105702-105902-106081-106246-106411-31068,--,6.59687,10.4104,Cung
cuh,104955-105023-105143-105302-105490-105704-105907-106111-106290-106459-30067,--,-0.27405,37.6116,Gichuka
cui,36359-36362-36363,--,6.19829,-69.8197,Cuiba
cuj,104952-105019-23724-105297-23730,--,-11.4745,-70.7953,Mashco Piro
cuk,24632-24634-24635-24636-24637-24638,--,9.15686,-78.3075,"Kuna, San Blas"
cul,104953-38968-38969-38970,--,-8.55268,-70.6648,Kulina
cum,107384-104791,--,2.83332,-69.5,Cumeral
cun,107384-104919,--,--,--,"K'iche', Cunén"
cuo,104960-26821-26836-26842-26844,--,10.209,-63.018,Cumanagoto
cup,105007-34687-105275-34715-34720-34721,--,33.3148,-116.515,Cupeño
cuq,105001-28529-28531-28537,--,19.2182,108.743,Cun
cur,105000-105103-105251-105429-105648-105851-28026,--,26.9107,87.2133,Chhulung
cut,104992-39084-39085-39090-39091-105835-39092,--,17.9029,-96.6645,"Cuicatec, Teutila"
cuu,105001-105111-105258-105438-105654-105858-106059-106238-28629-28630,--,23.569,101.899,Tai Ya
cuv,104949-105011-105125-105282-105676-25236,--,10.6448,14.0006,Cuvok
cuw,105000-105103-105251-105429-105647-105850-27967-27984,--,27.358,86.9824,Chukwa
cux,104992-39084-39085-39090-39091-105835-39130,--,17.756,-96.788,"Cuicatec, Tepeuxila"
cvg,105000-27531-27534-105430-27535-27536,--,27.7686,92.1838,Chug
cvn,104992-105083-39033-39034-39035-39038,--,17.7964,-96.3187,"Chinantec, Valle Nacional"
cwa,104955-105023-105143-105302-105490-105704-105907-106111-106291-106461-106596-30085,--,-1.7124,34.3923,Kabwa
cwb,104955-105023-105143-105302-105490-105704-105907-106116-106304-106473-30359-30379,--,-18.3143,36.5941,Maindo
cwd,104950-105013-23826-23830-23840,--,57.0,-99.0,"Cree, Woods"
cwe,104955-105023-105143-105302-105490-105704-105907-106111-106293-106467-106605-106697-30665,--,-6.50666,38.4449,Kwere
cwg,104956-35369-35382-35392-35393,--,3.83331,102.081,Cheq Wong
cwt,104955-105022-105141-33255-33282-105697-105893-106073-33286,--,12.4825,-16.7484,Kuwaataay
cya,104992-39084-39185-39224-39225-105837-106047-39228,--,16.0954,-97.1339,"Chatino, Nopala"
cyb,24457,--,-13.2482,-65.4822,Cayubaba
cym,104971-105052-105171-105341-105549-105783-38482,cy,52.0,-4.0,Welsh
cyo,106869-106871-106878-105322-105525-105754-105971-106176-39885,--,10.3201,119.3,Cuyonon
czh,105000-106876-105255-27939,--,29.7646,118.232,"Chinese, Huizhou"
czk,--,--,--,--,--
czn,104992-39084-39185-39224-39225-39226,--,16.528,-97.4555,"Chatino, Zenzontepec"
czo,105000-106876-27836-27846-27847,--,26.0686,117.376,"Chinese, Min Zhong"
czt,105000-105104-105252-27422-27424,--,22.5298,93.29,"Chin, Zotung"
daa,104949-105011-25353-25354-105467-105679-105879-25397,--,12.1517,18.385,Dangaléat
dac,106869-106871-106878-105320-105523-105751-105960-106162-42152-42153-42161-42170-42178,--,-7.00587,146.474,Dambi
dad,106869-106871-106878-105320-105523-105751-105960-106162-106367-106538-106650-42293-42294-42302,--,-5.349,145.59,Marik
dae,104955-105023-105146-105311-105506-105733-105943-106140-32519-32530,--,8.55031,13.4544,Duupa
daf,104981-105066-105182-26228-26229-26238-26246,--,7.22812,-8.24535,Dan
dag,104955-105023-105146-105312-105508-32858-105945-32879-106333-106495-32880-106708-106773-106814-32936,--,9.64745,-0.43227,Dagbani
dah,104989-105078-105210-105380-43085,--,-5.64555,146.455,Gwahatike
dai,104955-105023-105146-105311-105506-105732-32468,--,8.52612,17.5146,Day
daj,24132-24139-24147-24149,--,12.2598,25.3127,"Daju, Dar Fur"
dak,36474-36478-36481-36490-36491,--,47.6857,-102.12,Dakota
dal,104949-25700-105128-25702,--,-2.1843,40.37,Dahalo
dam,104955-105023-105143-105306-105499-31682-105930-31683,--,--,--,Damakawa
dan,104971-105053-105172-105342-36771-36772-36773,da,54.8655,9.36284,Danish
dao,105000-105104-105252-105432-105651-105854-27469-27470,--,20.7347,93.7853,"Chin, Daai"
dap,107384-28326,--,27.3708,93.1284,Nisi (India)
daq,104968-105043-105164-105333-33992,--,18.7475,81.3598,"Maria, Dandami"
dar,35856-35865-35919,--,42.4257,47.4388,Dargwa
das,104955-105023-105144-32207-105502-105729-32306,--,5.72458,-7.3558,Daho-Doo
dau,24132-24139-24140,--,11.9861,22.2013,"Daju, Dar Sila"
dav,104955-105023-105143-105302-105490-105704-105907-106111-106292-30116-30124,--,-3.79347,38.5725,Dawida
daw,106869-106871-106878-105322-105525-39832-39850,--,7.22613,126.458,Davawenyo
dax,104993-43995-105235-105412-44010,--,-13.1806,136.22,Dayi
daz,104989-43304-105217-43308,--,-3.28643,136.421,Dao
dba,28823,--,14.8116,-3.77092,Bangime
dbb,104949-105011-105127-25536-105471-25537-25538-106063-106241-106406-25546,--,10.6315,10.4394,Deno
dbd,104955-105023-105146-105312-105508-33089-33119-33123-33131-33136,--,9.62705,11.3587,Dadiya
dbe,105002-105113-105260-43527,--,-2.05082,139.116,Dabe
dbf,43764-43773-43786-43791,--,-3.11078,137.387,Edopi
dbg,104967-26867-26868,--,14.5872,-3.56855,"Dogon, Dogul Dom"
dbi,104955-105023-105143-105303-105494-31940,--,10.2287,7.96099,Doka
dbj,106869-106871-106878-107522-105531-40622,--,5.29059,118.515,Ida’an
dbl,104993-43962,--,-17.4516,145.544,Dyirbal
dbm,104955-105023-105143-105302-105490-29466-29469-107655-29494,--,9.42456,10.2166,Duguri
dbn,44669-44671,--,-1.38946,130.925,Duriankere
dbo,104955-105023-105143-105302-105490-29466-29469-106083-29480,--,10.1911,9.94759,Dulbu
dbp,104949-105011-105127-105285-25459-25469,--,12.803,11.3367,Duwai
dbq,104949-105011-105125-105282-25304-25312,--,10.3521,13.6318,Daba
dbr,104949-25700-105128-25728-25729-107567-25731-25733-106407-25736,--,1.2179,43.3304,Dabarre
dbt,104967-105040-104452,--,--,--,"Dogon, Ben Tey"
dbu,104967-26867-26869-26871,--,14.9066,-3.32636,"Dogon, Bondum Dom"
dbv,104955-105023-105143-105306-105499-105723-31594-106128-31596-31600,--,10.5043,8.19543,Dungu
dbw,104967-105040-104451,--,--,--,"Dogon, Bankan Tey"
dby,36202,--,-7.82096,142.779,Dibiyaso
dcc,104971-105055-105173-105348-105568-105806-37913,--,18.5919,75.717,Deccan
dcr,104971-105053-105172-105343-105552-37065-106002-106206-106392-106551-37092,--,18.3416,-64.8922,Negerhollands
dda,--,--,--,--,Dadi Dadi
ddd,23478-23523-23533-23534-23535-23544,--,4.43426,33.2429,Dongotono
dde,104955-105023-105143-105302-105490-105704-105906-106098-30842,--,-4.30483,13.5641,Doondo
ddg,107129-28814-28816-28817-28818,--,-8.49464,127.08,Fataluku
ddi,106869-106871-106878-105320-105523-105751-105960-106163-106368-41754-41803-41805,--,-9.38654,150.168,"Goodenough, West"
ddj,104993-105085-43915-43916-105619-43927,--,-18.3288,128.262,Jaru
ddn,28858-28870-107515-28878,--,11.6682,3.49109,Dendi
ddo,35856-35865-35866-35867-35874-35878,--,42.2646,45.8096,Dido
ddr,--,--,--,--,--
dds,104967-26899-26901,--,14.3402,-3.51468,"Dogon, Donno So"
ddw,106869-106871-106878-105320-105522-105745-40671-40673,--,-7.76324,130.06,Dawera-Daweloor
dec,34569-34572-34573,--,10.583,29.9404,Dagik
ded,104989-105078-43113-105382-43128,--,-6.38206,147.627,Dedua
dee,104955-105023-105144-32207-32273-32274,--,6.56113,-10.9076,Dewoin
def,104971-105055-105174-105351-105573-105814-37290,--,32.374,48.907,Dezfuli
deg,104955-105023-105143-105301-31476-31547-105894-31555,--,4.73373,6.80991,Degema
deh,104971-105055-105174-105351-105573-105813-106029-106224-37443,--,29.5205,66.5977,Dehwari
dei,34382-34384,--,-2.54564,136.694,Demisa
dek,107392-107467-28427,--,11.0183,14.4833,Dek
del,--,--,--,--,Delaware
dem,43671,--,-3.72183,137.632,Dem
den,--,--,--,--,Slave
dep,107389-107420-34057,--,38.569,-75.463,"Delaware, Pidgin"
deq,104955-105023-105146-105311-105507-105734-32631-106141-32642,--,4.48146,22.566,Dendi
der,105000-106873-105248-28147,--,26.8615,93.7057,Deori
des,105003-105114-105263-105442-105659-105863-34430,--,0.58157,-69.4955,Desano
deu,104971-105053-105172-105343-105552-105784-37168,de,48.649,12.4676,"German, Standard"
dev,104989-105078-105210-105381-105598-43050,--,-5.81856,146.682,Domung
dez,104955-105023-105143-105302-105490-105704-105906-106094-106266-106430-106577-106754-29683,--,-3.26337,21.4194,Dengese
dga,104955-105023-105146-105312-105508-32858-105945-32879-106333-106495-32880-106708-106772-106812-106834-106840-32904,--,10.4226,-2.52265,"Dagaare, Southern"
dgb,104967-105041-26882,--,14.43,-3.49,"Dogon, Bunoge"
dgc,106869-106871-106878-106888-105772-106999-39608,--,16.2176,121.878,"Agta, Casiguran Dumagat"
dgd,104955-105023-105146-105312-105508-32858-105945-32879-106333-106495-32880-106708-106772-106812-106834-106840-106845-32905,--,11.6839,-2.48569,Dagaari Dioula
dge,104989-105078-105210-105380-43091,--,-5.70892,146.572,Degenan
dgg,106869-106871-106878-105320-105523-105751-105960-106163-106368-41754-41842-41843-41846,--,-9.63698,149.841,Doga
dgh,104949-105011-105125-105281-105463-105670-107575-25262,--,11.0575,13.7785,Dghwede
dgi,104955-105023-105146-105312-105508-32858-105945-32879-106333-106495-32880-106708-106772-106812-106834-106841-32900,--,11.0441,-3.0124,"Dagara, Northern"
dgk,104961-105035-105159-105329-106904-35084-105996-106203-35123,--,8.84278,18.4847,Dagba
dgl,--,--,--,--,Andaandi
dgn,24503-24506,--,-15.764,132.379,Dagoman
dgo,104971-105055-105173-37561-105564-105801-37580-37584,--,32.5534,75.7111,Dogri
dgr,44798-44799-44801-44825-44852-44853,--,62.3823,-114.193,Dogrib
dgs,104955-105023-105146-105312-105508-105736-33005-33006,--,10.0489,-4.35805,Dogoso
dgt,--,--,--,--,Ndra’ngith
dgu,107384-37744,--,25.0461,86.7694,Degaru
dgw,--,--,--,--,Daungwurrung
dgx,104989-42830-105211-42838-42843-42848-42849-42850,--,-9.13688,148.766,Doghoro
dgz,26532-26540,--,-9.9747,149.263,Daga
dha,107384-37863,--,23.0613,83.1644,Dhanwar (India)
dhd,104971-105055-105173-105345-105561-105797-106011-38149,--,26.473,76.198,Dhundari
dhg,104993-43995-105235-105412-43997,--,-11.9493,135.752,Djangu
dhi,105000-28130-28131,--,26.6283,88.3798,Dhimal
dhl,104993-105091-105231-43907-107159-43911,--,-22.196,114.937,Dhalandji
dhm,104955-105023-105143-105302-105490-105704-105906-107656-107664-107666-107667-31042-31046,--,-17.2958,13.4424,Dhimba
dhn,104971-105055-105173-105345-105561-38401-38402,--,20.7719,73.7418,Dhanki
dho,104971-105055-105173-105345-105561-105795-38188,--,21.0656,73.2743,Dhodia
dhr,104993-105091-105231-43875-43876,--,-24.0601,114.847,Dhargari
dhs,104955-105023-105143-105302-105490-105704-105907-106111-106290-106458-30044,--,-4.81209,38.818,Dhaiso
dhu,104993-105092-105232-105408-43814-43818-43821,--,-35.412,150.134,Dhurga
dhv,106869-106871-106878-105320-105523-105751-41329-41330,--,-20.8892,167.229,Drehu
dhw,104971-105055-105173-105344-105558-105792-38438,--,27.548,85.0074,Danuwar
dhx,--,--,--,--,Dhungaloo
dia,104988-105203-24288,--,-3.38837,142.248,Dia
dib,23478-23584-23626-23640-23664,--,6.7307,30.3021,"Dinka, South Central"
dic,104955-105023-105144-32333-32334-105728-32339,--,5.86012,-5.40633,"Dida, Lakota"
did,34525-34526-34540-34548-34553-34555,--,4.21489,33.6869,Didinga
dif,104993-105088-44132-44136-106995-44140-44141,--,-28.1667,138.0,Dieri
dig,104955-105023-105143-105302-105490-105704-105907-106111-106293-106465-106603-30103-106765-30115,--,-4.62101,39.1752,Chidigo
dih,28950-28952-28954-28956-28957,--,32.5153,-116.609,Kumiai
dii,104955-105023-105143-105302-105490-105704-105905-106087-106252-29730,--,4.80551,10.9888,Dimbong
dij,106869-106871-106878-105320-105522-105745-40671-40674,--,-7.55894,129.687,Dai
dik,23478-23584-23626-23640-23652,--,8.81115,28.0613,"Dinka, Southwestern"
dil,29019-105075-105195-29036-105581-29049,--,12.0347,29.6056,Dilling
dim,43672-43673,--,6.20951,36.3329,Dime
din,--,--,--,--,Dinka
dio,104955-105023-105143-31780-31787-105727-105935-107014-31788,--,9.0611,6.3731,Dibo
dip,23478-23584-23626-23640-23669,--,9.27995,31.8392,"Dinka, Northeastern"
diq,104971-105055-105174-105351-105572-37236-106027-37248,--,38.6147,39.6388,"Zazaki, Southern"
dir,104955-105023-105143-105302-105489-29382-105899-106078-29390,--,7.83766,11.6321,Dirim
dis,105000-106873-105248-105424-105640-28154,--,25.4198,93.1806,Dimasa
dit,104993-105088-44132-44136-106995-44140-44142,--,-28.7992,138.078,Dirari
diu,104955-105023-105143-105302-105490-105704-105906-107656-107664-107666-106434-30733,--,-18.1681,20.6678,Diriku
div,104971-105055-105173-38442-38444,dv,3.82586,73.0746,Maldivian
diw,23478-23584-23626-23640-23641,--,9.81484,29.2998,"Dinka, Northwestern"
dix,106869-106871-106878-105320-105523-105751-105958-106159-106355-106520-41552,--,-16.3267,167.516,Dixon Reef
diy,104989-43174-43200-105371-105584-43201,--,-5.12627,139.455,Diuwe
diz,104955-105023-105143-105302-105490-105704-105906-106105-29990-29993,--,-4.44304,19.3881,Ding
dja,--,--,--,--,Djadjawurrung
djb,104993-43995-44035-44043,--,-12.93,134.967,Djinba
djc,24132-24139-24143,--,12.1187,18.7996,"Daju, Dar Daju"
djd,36392-36393-36395,--,-15.0558,130.06,Djamindjung
dje,28858-28870-107515-28876,--,12.8554,2.41173,Zarma
djf,104993-105094-43835-43836,--,-16.9105,144.932,Djangun
dji,104993-43995-44035-44036,--,-12.462,134.82,Djinang
djj,24121-24122,--,-12.0133,134.097,Djeebbana
djk,104971-105053-105172-105343-105554-105787-106006-106207-106393-106552-106664-106745-36981-36984,--,4.3126,-54.6419,Aukan
djl,104993-105091-105231-43875-43877,--,-24.1072,116.989,Djiwarli
djm,104967-26885-26893,--,14.1794,-2.57999,"Dogon, Jamsay"
djn,24693-24709-24711,--,-14.1361,133.002,Djauan
djo,106869-106871-106878-105323-40061-40062,--,0.29738,110.647,Jangkang
djr,104993-43995-105235-105412-44013-44014-44022,--,-12.021,135.59,Djambarrpuyngu
dju,104998-105099-105242-26687-26690-26691,--,-4.51011,143.241,Kapriman
djw,104991-105082-38891-38895,--,-16.4163,123.186,Djawi
dka,105000-106872-106883-105634-27167-27169-27189-27190,--,27.3762,91.8245,Dakpakha
dkk,106869-106871-106878-42634-42676-42698-42712,--,-3.33671,119.235,Dakka
dkl,107384-104930,--,14.3617,-3.8795,Kolum So Dogon
dkr,106869-106871-106878-107522-105533-106997-105767-40608,--,5.47179,116.108,Kuijau
dks,23478-23584-23626-23640-23646,--,7.02206,31.285,"Dinka, Southeastern"
dkx,104949-105011-105125-105282-25304-25316,--,10.175,13.6873,Mazagway
dlg,105005-105120-24118-24119,--,71.1083,94.2936,Dolgan
dlk,104949-105012-105129-105288-105691-105892-104403,--,15.732898,40.081897,Dahalik
dlm,104971-105056-105175-105353-107153-105354-105575-105815-106030-104457,--,42.7095,18.0238,Dalmatian
dln,105000-105104-105252-27392-27394,--,23.992,91.3339,Darlong
dma,104955-105023-105143-105302-105490-105704-105906-106103-106280-106445-106590-30007,--,-0.91927,13.0046,Duma
dmb,104967-105041-26883,--,14.376155,-3.664799,"Dogon, Mombo"
dmc,104989-105080-105214-105389-42985,--,-4.8296,145.676,Gavak
dmd,--,--,--,--,Madhi Madhi
dme,104949-105011-105125-105281-105463-105672-105671-25225,--,10.752,14.2134,Dugwor
dmg,106869-106871-106878-107522-105533-106997-105770-40627-40628,--,5.31911,116.901,"Kinabatangan, Upper"
dmk,104971-105055-105173-105345-37653,--,36.3258,74.7984,Domaaki
dml,104971-105055-105173-105347-38026-38034,--,35.299,71.6806,Dameli
dmm,104955-105023-105146-105311-105506-105732-105941-32448-32449-32450,--,8.72207,14.0597,Dama
dmo,104955-105023-105143-105302-105490-105702-105902-106080-106245-31069,--,6.69577,10.4984,Kemedzung
dmr,106869-106871-106878-105320-105522-105749-105956-40862,--,-7.16991,128.636,"Damar, East"
dms,106869-106871-106878-40119-40310-40311-40312-40317,--,0.70234,120.219,Dampelas
dmu,44361-44362-44363,--,-3.62591,140.768,Tebi
dmv,106869-106871-106878-107522-105533-106997-105767-105987-107021-40572,--,5.93483,117.419,Dumpas
dmw,--,--,--,--,Mudburra
dmx,104955-105023-105143-105302-105490-105704-105907-30268-30278,--,-15.6894,32.7731,Dema
dmy,24724-24725,--,-2.38475,140.166,Sowari
dna,104989-43276-105208-105376-43287,--,-3.94368,138.901,"Dani, Upper Grand Valley"
dnd,44372-44373-44382,--,-3.31443,141.22,Daonda
dne,104955-105023-105143-105302-105490-105704-105907-106114-106297-107032-30401,--,-10.4203,36.0105,Ndendeule
dng,105000-106876-105255-27934,--,42.7292,76.8382,Dungan
dni,104989-43276-105208-105376-43278,--,-4.25684,138.992,"Dani, Lower Grand Valley"
dnj,--,--,--,--,Dan
dnk,106869-106871-106878-105320-105522-105749-40886-106158-40914,--,-10.7866,122.946,Dengka
dnn,104981-105067-105183-106991-106994-105577-107012-26060,--,11.3796,-4.92036,Dzùùngoo
dnr,104989-105080-105216-42930-42931,--,-5.53634,145.457,Danaru
dnt,104989-43276-105208-105376-43300,--,-4.06322,138.945,"Dani, Mid Grand Valley"
dnu,104956-105025-105149-35800-35801,--,20.4957,96.998,Danau
dnv,--,--,--,--,Danu
dnw,104989-43276-105208-105377-43284,--,-3.77127,138.217,"Dani, Western"
dny,104953-38968-38969-38971,--,-6.74962,-67.5029,Dení
doa,104989-43448-43449-43450-43451-43452,--,-6.03737,144.895,Dom
dob,106869-106871-106878-105320-105523-105751-105960-106163-106368-41754-41756-41791,--,-9.63239,150.825,Dobu
doc,105001-105111-28539-28540-28541-28543-28545,--,26.9944,109.204,"Dong, Northern"
doe,104955-105023-105143-105302-105490-105704-105907-106111-106293-106467-106605-30657,--,-6.25844,38.4902,Doe
dof,104980-43750,--,-10.151,148.45,Domu
doh,104955-105023-105143-105302-105489-29382-105900-29391,--,8.64119,11.9924,Dong
doi,--,--,--,--,Dogri
dok,106869-106871-106878-40119-40310-40311-40318-40322,--,0.80348,120.707,Dondo
dol,36199-36200,--,-7.85806,142.656,Doso
don,106869-106871-106878-105320-105523-105751-105960-106163-41879-41880-106655-41882-41883,--,-9.10008,146.988,Toura
doo,104955-105023-105146-105311-105507-105735-105944-32579-32580-32584,--,2.96683,29.9619,Dongo
dop,104955-105023-105146-105312-105508-105736-105946-106144-33072-106497-33077,--,9.51949,1.66954,Lukpa
doq,107390-107128-107502-33537,--,18.8798,-71.1722,Dominican Sign Language
dor,106869-106871-106878-105320-105523-105751-41589-41620-106361-106527-106646-41624,--,-9.11536,160.897,Dori’o
dos,104955-105023-105146-105312-105508-105736-33008-106145-33009,--,10.1899,-4.1493,Dogosé
dot,104949-105011-105127-105285-105472-105685-105885-25525,--,9.9325,9.51838,Dass
dov,107384-104897,--,-18.37,26.502,Dombe
dow,104955-105023-105146-105311-105506-105733-105943-32534-32535-32556,--,8.68604,13.0768,Doyayo
dox,104949-25700-105128-25728-25729-25782-25784-25792,--,5.74987,37.2017,Bussa
doy,104955-105023-105145-105310-105505-105731-105939-106137-106324-29340,--,8.182,-2.295,Dompo
doz,29091-105194-105365-29101-29109,--,6.25237,37.5554,Dorze
dpp,106869-106871-106878-107522-105533-106998-40574,--,5.57378,115.58,Papar
drb,29019-105075-105195-29036-105580-29048,--,12.474,30.6782,Dair
drc,104971-105056-105175-105353-107153-105354-105575-105816-106032-106226-106398-106555-104461,--,39.5144,-8.68866,Minderico
drd,105000-106872-105247-107677-107680-27215-27217-27218,--,29.8629,80.5439,Darmiya
dre,105000-106872-106883-107149-107160-107168-27070-27071,--,29.1957,83.2927,Dolpo
drg,106869-106871-106878-107522-105533-106997-105767-105987-40603,--,6.83989,116.743,Rungus
drh,26921-26945-105189-26947-26954,--,50.623,99.4449,Darkhat
dri,104955-105023-105143-105306-105499-31682-105930-31687,--,11.4653,5.26544,C’Lela
drl,104993-105093-43827,--,-32.7021,142.695,Paakantyi
drn,106869-106871-106878-105320-105522-105745-40931,--,-7.12065,128.585,"Damar, West"
dro,106869-106871-106878-107522-105532-105765-40328-40332,--,2.54435,111.536,"Melanau, Daro-Matu"
drq,105000-105103-27946,--,28.173,84.435,Dura
drr,107384-104939,--,-8.30556,157.767,Dororo
drs,104949-25700-105128-25715-105474-105687-25726,--,6.18469,38.2395,Gedeo
drt,104971-105053-105172-105343-105554-105786-106005-107016-37049,--,52.9024,6.51539,Drents
dru,106869-39342,--,22.7738,120.844,Rukai
drw,104971-105055-105174-105351-105573-105813-106029-106224-104460,--,38.3161,70.7643,Darwazi
dry,104971-105055-105173-105344-105558-105792-38441,--,27.8623,84.1357,Darai
dsb,104971-105051-105170-105339-36661-36662,--,51.6621,13.9407,"Sorbian, Lower"
dse,107390-107128-107508-107541-33441,--,52.1251,4.91133,Sign Language of the Netherlands
dsh,104949-25700-105128-25728-25729-107567-25731-25752-25753,--,4.58879,35.9888,Daasanach
dsi,104961-105035-105159-105329-106904-106914-35154,--,10.3218,19.2156,Disa
dsl,107390-107128-107508-107540-33470,--,55.8257,12.3187,Danish Sign Language
dsn,106869-106871-106878-105320-105523-42369-107577-107584-106167-42413,--,-2.73859,134.391,Dusner
dso,107384-37669,--,18.965,82.646,Desiya
dsq,28858-28859-28860-28861,--,16.685,2.32653,Tadaksahak
dta,26921-26941,--,48.0,124.0,Daur
dtb,106869-106871-106878-107522-105533-106997-105767-105987-107021-40598,--,5.51924,117.507,"Kadazan, Labuk-Kinabatangan"
dtd,38920-38929-38930-38931,--,--,--,Ditidaht
dth,--,--,--,--,Adithinngithigh
dti,104967-26867-26869-26874-26875,--,14.6669,-3.1168,"Dogon, Ana Tinga"
dtk,104967-26885-26886-26887,--,14.0675,-3.37158,"Dogon, Tene Kan"
dtm,104967-26885-26886-26892,--,13.6331,-3.82228,"Dogon, Tomo Kan"
dtn,--,--,--,--,--
dto,--,--,--,--,"Dogon, Tommo So"
dtp,106869-106871-106878-107522-105533-106997-105767-105986-40578,--,6.02998,116.681,"Dusun, Central"
dtr,106869-106871-106878-107522-105533-106997-107006-40610,--,6.13732,116.232,Lotud
dts,104967-26899-26900,--,14.4075,-3.10006,"Dogon, Toro So"
dtt,104967-26885-26898,--,15.0644,-2.22427,"Dogon, Toro Tegu"
dtu,104967-26867-26869-26870,--,14.66,-3.1,"Dogon, Tebul Ure"
dty,104971-105055-105173-37561-37562-107323,--,--,--,Dotyali
dua,104955-105023-105143-105302-105490-105704-105905-106091-106261-107681-29880,--,4.10208,9.61877,Duala
dub,104971-105055-105173-105345-105561-105797-106010-38197,--,21.5161,73.218,Dubli
duc,24333,--,-5.41439,142.475,Duna
dud,104955-105023-105143-105306-105499-31682-105931-31692,--,10.7898,5.07312,Hun-Saare
due,106869-106871-106878-105322-39784,--,14.8757,121.508,"Agta, Umiray Dumaget"
duf,106869-106871-106878-105320-105523-105751-105959-41149-41186-41191,--,-22.0947,166.531,Drubea
dug,104955-105023-105143-105302-105490-105704-105907-106111-106293-106465-106603-30103-106764-30112,--,-4.09629,39.322,Chiduruma
duh,104971-105055-105173-105345-105561-105795-106009-38201,--,22.306,73.187,Dungra Bhil
dui,104989-105080-105216-42916-42919,--,-5.55315,146.082,Dumun
duj,104993-43995-105235-105412-44013-44023-44024,--,-12.7825,136.008,Dhuwal
duk,104989-105080-105216-42922-42929,--,-5.43119,145.642,Uyajitaya
dul,106869-106871-106878-105322-105525-105753-39788,--,14.1217,122.014,"Agta, Alabat Island"
dum,104971-105053-105172-105343-105552-37065-106002-106206-37091,--,51.216667,3.233333,Middle Dutch
dun,106869-106871-106878-105321-105524-42500,--,-1.95514,115.578,Dusun Deyah
duo,106869-106871-106878-106888-105772-39609,--,17.3748,122.188,"Agta, Dupaninan"
dup,106869-106871-106878-105324-105529-105763-105978-106185-39455,--,1.56829,103.36,Duano
duq,106869-106871-106878-105321-105524-42501-42506,--,-0.85277,115.392,Dusun Malang
dur,104955-105023-105146-105311-105506-105733-105943-106140-32519-32520,--,7.77412,13.9884,Dii
dus,105000-105103-105251-105429-28034-28060-28061,--,27.4585,86.757,Dumi
duu,105000-105107-28336-28337,--,28.0079,98.4945,Drung
duv,43764-43773-43774,--,-3.21832,137.964,Duvle
duw,106869-106871-106878-105321-105524-42501-42502,--,-1.57408,114.979,Dusun Witu
dux,104981-105067-105183-106991-106994-105577-107012-26059,--,10.9234,-5.85872,Duungooma
duy,106869-106871-106878-106888-39605,--,17.8846,121.606,"Agta, Dicamay"
duz,104955-105023-105146-105311-105506-105733-105943-106140-32565,--,9.11241,13.4232,Duli
dva,106869-106871-106878-105320-105523-105751-105960-106163-106368-41754-41756-41778,--,-10.187,151.218,Duau
dwa,104949-105011-105127-105285-25470-25473,--,11.1701,9.32363,Diri
dwl,107384-26879,--,--,--,Walo Kumbe Dogon
